,fare_amount_p_5,fare_amount_p_50,fare_amount_p_95,tip_amount_p_5,tip_amount_p_50,tip_amount_p_95,total_amount_p_5,total_amount_p_50,total_amount_p_95
VendorID_1,4.5,9.5,36.0,0.0,1.86,6.55,8.3,14.75,48.3
VendorID_2,4.5,9.5,40.0,0.0,1.96,7.36,8.3,14.76,52.7
VendorID_4,4.0,9.0,35.274999999999636,0.0,1.96,7.117499999999963,8.3,14.75,48.65
passenger_count_0,4.0,9.0,37.5,0.0,1.85,6.65,8.3,14.72,49.8
passenger_count_1,4.5,9.5,37.0,0.0,1.95,7.0,8.3,14.75,49.9
passenger_count_2,4.5,9.5,42.0,0.0,1.86,7.2,8.3,14.8,54.5
passenger_count_3,4.5,9.5,42.0,0.0,1.85,7.0,8.3,14.8,54.53699999999837
passenger_count_4,4.5,10.0,50.0,0.0,1.58,6.99,8.75,15.3,58.92
passenger_count_5,4.5,9.5,37.5,0.0,1.96,7.18,8.3,14.76,50.52
passenger_count_6,4.5,9.5,38.0,0.0,1.96,7.28,8.3,14.76,51.0
passenger_count_7,7.0,73.0,78.6,0.0,7.0,17.839999999999996,9.36,82.3,107.03999999999998
passenger_count_8,7.15,80.0,85.0,0.0,2.07,20.555999999999997,8.932,82.05,114.08999999999999
passenger_count_9,8.106,10.0,95.49999999999999,0.0,2.62,19.55999999999999,9.178,15.99,117.35999999999994
payment_type_1,4.5,9.5,38.5,0.8,2.36,8.45,9.3,15.36,53.3
payment_type_2,4.0,9.0,37.0,0.0,0.0,0.0,7.3,12.3,41.92
payment_type_3,-5.0,6.5,49.92499999999927,0.0,0.0,0.0,-8.3,9.8,52.8
payment_type_4,-18.0,4.5,38.0,0.0,0.0,0.0,-20.8,7.8,42.8
