,fare_amount_p_5,fare_amount_p_50,fare_amount_p_95,tip_amount_p_5,tip_amount_p_50,tip_amount_p_95,total_amount_p_5,total_amount_p_50,total_amount_p_95
VendorID_1,3.9250000000000007,9.0,52.0,0.0,1.0,9.107499999999975,7.7250000000000005,14.3,66.35
VendorID_2,4.0,10.25,52.0,0.0,1.4249999999999998,11.527999999999983,8.16,15.05,70.164
VendorID_4,9.35,12.5,30.5,0.1,1.0,4.5009999999999994,14.539000000000001,21.19,34.788999999999994
passenger_count_0,3.9000000000000004,10.5,57.19999999999998,0.0,1.95,7.329999999999994,8.600000000000001,14.3,66.62999999999998
passenger_count_1,4.0,10.25,52.0,0.0,1.1949999999999998,11.0555,7.8,14.8,69.27599999999998
passenger_count_2,4.6,9.5,52.0,0.0,1.76,11.977999999999998,8.3,15.73,65.904
passenger_count_3,3.5,8.5,20.0,0.0,1.86,5.95,8.16,12.85,29.75
passenger_count_4,23.2,52.0,52.0,6.355,10.0,11.601999999999999,33.305,65.3,70.16
passenger_count_5,5.425,7.75,41.374999999999986,0.0,0.5,5.959999999999991,8.16,12.33,46.758999999999965
passenger_count_6,3.0,9.0,23.65,0.0,0.0,3.225999999999995,7.8,12.8,29.075999999999993
payment_type_1,4.5,10.5,52.0,0.006999999999999993,2.66,12.28,8.8,17.15,73.656
payment_type_2,3.6500000000000004,9.0,38.54999999999998,0.0,0.0,0.0,7.3,12.3,40.3
payment_type_3,2.5,9.5,26.399999999999995,0.0,0.0,0.0,3.8,13.3,30.199999999999992
trip_distance<=2.8,3.5,6.5,10.5,0.0,1.0,3.08,7.2825,11.16,16.56
trip_distance>2.8,11.0,20.0,52.0,0.0,2.96,12.28,15.3,24.95,73.7
